Birth date,First name,Last name,Weight,Height
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,155.0
28/11/1988,Bob,Big,102.4,145.0
01/01/1970,John,Smith,81.5,160.0
31/01/1975,Jane,Doe,61.1,145.0
28/11/1988,Bob,Big,102.4,155.0
01/01/1970,John,Smith,81.5,160.0
